barcode,old_name,new_name,brand,productDesc,confidence,changes
4607014826730,Коктейль Чуда ваниль 950 г,Коктейль Чудо ваниль 950 г,,Коктейль с ванильным вкусом.,high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}"
4607014826556,"Домик в деревне молоко 2,5% 950 г","Домик в деревне молоко 2,5% 950 г",Домик в деревне,"Молоко с жирностью 2,5%.",high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4607096004477,Домик в деревне сливки 20% 480 г,Домик в деревне сливки 20% 480 г,Домик в деревне,Сливки с жирностью 20%.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4607041420284,"Сырок Глазир Чудо 25,6% Ваниль.","Сырок Глазир Чудо 25,6% ваниль",Чудо,Сырок глазированный с ванильным вкусом.,high,"{""spelling"": true, ""units"": false, ""punctuation"": true, ""brandFix"": true, ""other"": false}"
4690228006913,"Творожные десерт Чудо 4,2% 100 г Персик Груша.","Творожный десерт Чудо 4,2% 100 г Персик Груша",Чудо,Творожный десерт с персиком и грушей.,high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}"
4690228107030,"Чудо ЙогФр ЯгоднМорож 1,9% 260 г","Чудо Йогурт Ягодное Мороженое 1,9% 260 г",Чудо,Йогурт с ягодным вкусом.,high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}"
4607096006464,"Масло Домик в деревне 82,5% 0,18 кг","Масло Домик в деревне 82,5% 0,18 кг",Домик в деревне,"Масло с жирностью 82,5%.",high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4870055002696,"Молоко с витамином D Лактель 3,2% 1 л","Молоко с витамином D Лактель 3,2% 1 л",Лактель,Молоко с добавлением витамина D.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4870207311478,"Кефир ФМ 2,5% 0,9 кг","Кефир ФМ 2,5% 0,9 кг",,"Кефир с жирностью 2,5%.",high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4870207314264,"БИО С Клубника 2,9% 0,45 кг","БИО Клубника 2,9% 0,45 кг",,Биопродукт с клубничным вкусом.,high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4870207315292,"Живой Натуральный 2% 0,280","Живой Натуральный 2% 0,280 кг",,Натуральный йогурт с жирностью 2%.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4870207315308,"Питьевой йогурт Натуральный 2% 0,45 кг","Питьевой йогурт Натуральный 2% 0,45 кг",,Питьевой йогурт с жирностью 2%.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4870207311454,"Сметана Президент 10% 0,40 кг","Сметана Президент 10% 0,40 кг",Президент,Сметана с жирностью 10%.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4870207314004,"Творог Домашний Рассыпчатый Президент 5% 0,45 кг","Творог Домашний Рассыпчатый Президент 5% 0,45 кг",Президент,Рассыпчатый творог с жирностью 5%.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4870207313328,"Йогурт греческий Натуральный 8,4% 0,130 кг","Йогурт греческий Натуральный 8,4% 0,130 кг",,"Греческий йогурт с жирностью 8,4%.",high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
2500203970011,Сыр Мастер Голландский 45% пленка.,Сыр Мастер Голландский 45%,Мастер,Голландский сыр с жирностью 45%.,high,"{""spelling"": false, ""units"": false, ""punctuation"": true, ""brandFix"": true, ""other"": false}"
4607037123922,Сыр плавленый Президент с запеченной колбасками 45% 400 г.,Сыр плавленый Президент с запечёнными колбасками 45% 400 г,Президент,"Плавленый сыр с колбасками, жирность 45%.",high,"{""spelling"": true, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4870207313359,"Творожок взбитый Снежок 3,8% 0,1 кг.","Творожок взбитый Снежок 3,8% 0,1 кг.",Снежок,"Взбитый творожок с жирностью 3,8%.",high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4870035000735,"Молоко цельное сгущенное с сахаром,жирность 8,5% 270 г.","Молоко сгущенное с сахаром 8,5% 270 г",,"Цельное сгущенное молоко с сахаром, жирность 8,5%.",high,"{""spelling"": false, ""units"": true, ""punctuation"": true, ""brandFix"": false, ""other"": false}"
4870207314561,"Му-у молочный коктейль ФМ Клубника 2% 0,200 мл","Му-у молочный коктейль ФМ Клубника 2% 0,200 мл",ФМ,"Молочный коктейль с клубникой, жирность 2%.",high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4601662006490,"Сливки Президент 11% 0,20 г","Сливки Президент 11% 0,20 г",Президент,Сливки с жирностью 11%.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
2500204510018,Каймак Домашний 485 г Айжан ИП,Каймак Домашний 485 г,Айжан,"Домашний каймак, вес 485 г.",high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
2500204560013,Курт Домашний сол Айжан ИП,Курт Домашний солёный 485 г,Айжан,"Домашний солёный курт, вес 485 г.",high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4870004711945,"Молоко Новый день 3,2% 1 лТетрапак с крышка.","Молоко Новый день 3,2% 1 л",Новый день,"Цельное молоко с жирностью 3,2%, упаковка Тетрапак.",high,"{""spelling"": false, ""units"": true, ""punctuation"": true, ""brandFix"": false, ""other"": false}"
4870004711501,"Молоко Просто 2,5%","Молоко Просто 2,5%",,"Молоко с жирностью 2,5%.",high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4602358006992,Сырок творож. глазирован бел. шок с карамелью 23% 50 г (12) Кизк,Сырок творожный глазированный с карамелью 23% 50 г,Кизк,"Глазированный творожный сырок с карамелью, жирность 23%.",high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4810073008423,Сырок творож. глазирован. Моя столица на бискв. с наполн Ром МДЖ 23% 65 г (20),Сырок творожный глазированный на бисквите с наполнителем Ром 23% 65 г,,"Глазированный творожный сырок с наполнителем Ром, жирность 23%.",high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4870005358958,"Биойогурт клубника-банан со злаками, 1,5%, пюрпак, 450 г.","Биойогурт клубника-банан со злаками 1,5% 450 г",,"Биойогурт с клубникой и бананом, жирность 1,5%.",high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4870005359368,"Йогурт ложковый Эмиль клубника 2,5% стакан 275 г","Йогурт ложковый Эмиль клубника 2,5% 275 г",Эмиль,"Ложковый йогурт с клубникой, жирность 2,5%.",high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4870005359009,"Кефир, 2,5%, пюрпак, 450 г.","Кефир 2,5% 450 г",,"Кефир с жирностью 2,5%.",high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4870005359177,"Ряженка, 2,5%, пюрпак, 450 г.","Ряженка 2,5% 450 г",,Кисломолочный продукт в упаковке.,high,"{""spelling"": false, ""units"": false, ""punctuation"": true, ""brandFix"": false, ""other"": true}"
4870005350488,"Сметана, 15%, п/стакан, 380 г.","Сметана, 15%, п/стакан, 380 г.",,Кисломолочный продукт в упаковке.,high,"{""spelling"": false, ""units"": false, ""punctuation"": true, ""brandFix"": false, ""other"": true}"
4870005359573,"Творожная масса малина, 4,5%, п/стакан, 180 г.","Творожная масса с малиной 4,5% 180 г",,Сладкий творожный продукт с малиной.,high,"{""spelling"": false, ""units"": false, ""punctuation"": true, ""brandFix"": false, ""other"": true}"
4870005352888,"Творожная масса с курагой, 4,5%, п/стакан, 180 г.","Творожная масса с курагой 4,5% 180 г",,Сладкий творожный продукт с курагой.,high,"{""spelling"": false, ""units"": false, ""punctuation"": true, ""brandFix"": false, ""other"": true}"
4870005359030,"Токтамыш, 2,5%, пюрпак, 900 г.","Токтамыш 2,5% 900 г",,Кисломолочный продукт в упаковке.,high,"{""spelling"": false, ""units"": false, ""punctuation"": true, ""brandFix"": false, ""other"": true}"
4870003750273,"кефир 2,5%, 0,450 кг. п\п Натиже","кефир 2,5%, 0,450 кг. п\п Натиже",Натиже,Кисломолочный напиток в упаковке.,high,"{""spelling"": false, ""units"": false, ""punctuation"": true, ""brandFix"": true, ""other"": true}"
4870003750358,"Молоко 2,2% 0,9 л ф/п Натиже","Молоко 2,2% 0,9 л",Натиже,Коровье молоко в упаковке.,high,"{""spelling"": false, ""units"": false, ""punctuation"": true, ""brandFix"": true, ""other"": true}"
4870003752932,"Йогурт со вкусом манго - маракуйя 1,5% 0,45 кг п/п Натиже","Йогурт со вкусом манго - маракуйя 1,5% 0,45 кг п/п Натиже",Натиже,Йогурт с фруктовым вкусом в упаковке.,high,"{""spelling"": false, ""units"": false, ""punctuation"": true, ""brandFix"": true, ""other"": true}"
4870003752949,"MIO-S смородина - малина - ромашка 1,5% 0,45 кг п/п Натиже","MIO-S смородина - малина - ромашка 1,5% 0,45 кг п/п Натиже",Натиже,Йогурт с ягодным вкусом в упаковке.,high,"{""spelling"": false, ""units"": false, ""punctuation"": true, ""brandFix"": true, ""other"": true}"
4870003753113,"MIOS злаки-отруби 1,5% 0,9 кг п/п, шт Натиже","MIOS злаки-отруби 1,5% 0,9 кг п/п, шт Натиже",Натиже,Продукт с злаками и отрубями в упаковке.,high,"{""spelling"": false, ""units"": false, ""punctuation"": true, ""brandFix"": true, ""other"": true}"
4870003750129 2575002590012,"Сметана 15%, 180 г.Натиже",Сметана 15% 180 г,Натиже,Кисломолочный продукт в упаковке.,high,"{""spelling"": false, ""units"": false, ""punctuation"": true, ""brandFix"": true, ""other"": true}"
4870003750495,"Сметана 20%, 500 г. Натиже",Сметана 20% 500 г,Натиже,Кисломолочный продукт в упаковке.,high,"{""spelling"": false, ""units"": false, ""punctuation"": true, ""brandFix"": true, ""other"": true}"
4870003750709,"Творожная масса с изюмом н/ж, 200 г.Натиже",Творожная масса с изюмом 200 г,Натиже,Сладкий творожный продукт с изюмом.,high,"{""spelling"": false, ""units"": false, ""punctuation"": true, ""brandFix"": true, ""other"": true}"
4870003753311,"Масло ""Крестьянское"" 71,5% соленое 0,250 г Натиже","Масло ""Крестьянское"" 71,5% соленое 0,250 г Натиже",,Соленое масло в упаковке.,high,"{""spelling"": false, ""units"": false, ""punctuation"": true, ""brandFix"": false, ""other"": true}"
4870003752956,"MIOS Йогурт ""Греческий"" 6% 0,14 кг п/ст, шт Натиже","MIOS Йогурт ""Греческий"" 6% 0,14 кг п/ст, шт Натиже",Натиже,Греческий йогурт в упаковке.,high,"{""spelling"": false, ""units"": false, ""punctuation"": true, ""brandFix"": true, ""other"": true}"
4870003751720,Сыр плавленый Английский 140гр. п/ст Натиже,Сыр плавленый Английский 140гр. п/ст Натиже,Натиже,Плавленый сыр с английским вкусом.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": true}"
4870003752079,"Сыр мягкий Моцарелла 0,250кгНатиже","Сыр мягкий Моцарелла 0,250кгНатиже",Натиже,"Мягкий сыр Моцарелла, идеален для пиццы.",high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": true}"
4870003753038,С соленым кунжутом 500 г Натиже,Солёный кунжут 500 г,Натиже,"Кунжут с солёным вкусом, отлично подходит для закусок.",high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": true}"
4870003751492,"кефир ""Classic"" 1%, 0,9 кгНатиже","Кефир Classic 1%, 0,9 кг",Натиже,"Кефир с низким содержанием жира, подходит для диеты.",high,"{""spelling"": false, ""units"": true, ""punctuation"": true, ""brandFix"": false, ""other"": true}"
4870206414996,Активиа 270гр Персик,Активиа 270гр Персик,Активиа,"Йогурт с персиковым вкусом, богат пробиотиками.",high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4870206411742,Активиа 670 г Злаки,Активиа 670 г Злаки,Активиа,"Йогурт с злаками, полезный и вкусный.",high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
8696368202563,"Актимель 1*95 г., Гранатовый",Актимель 95 г Гранатовый,Актимель,"Напиток с гранатовым вкусом, богат пробиотиками.",high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": true}"
8696368202617,Актимель КИДС клубника банан,Актимель КИДС клубника-банан,Актимель,Напиток для детей с клубнично-банановым вкусом.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
