barcode,old_name,new_name,brand,productDesc,confidence,changes,error
4610082840836,Коктейль Чуда банан 200 мл,Коктейль Чудо банан 200 мл,,Коктейль с банановым вкусом.,high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}",
4607014826730,Коктейль Чуда ваниль 950 г,Коктейль Чудо ваниль 950 г,,Коктейль с ванильным вкусом.,high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}",
4607014822398 4607014827560,Коктейль Чуда ягодно мороженое 950 г,Коктейль Чудо ягодное мороженое 950 г,,Коктейль с ягодным мороженым.,high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}",
4607014826563,"Домик в деревне молоко 3,2% 950 г","Молоко Домик в деревне 3,2% 950 г",Домик в деревне,Молоко с низким содержанием жира.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}",
4607025396840,Домик в деревне сливки 20% 200 г,Сливки Домик в деревне 20% 200 г,Домик в деревне,Сливки с высоким содержанием жира.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}",
4870002324567,"Молоко Мое 6% 0,95 л","Молоко Мое 6% 0,95 л",Мое,Молоко с высоким содержанием жира.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": true, ""other"": false}",
4607041420284,"Сырок Глазир Чудо 25,6% Ваниль.","Сырок Глазир Чудо 25,6% Ваниль",Чудо,Сырок с ванильным вкусом.,high,"{""spelling"": false, ""units"": false, ""punctuation"": true, ""brandFix"": true, ""other"": false}",
4690228008009,"Творожные десерт Чудо 4,2% 0,1 персик - маракурйя.","Творожный десерт Чудо 4,2% 100 г Персик - маракуйя",Чудо,Творожный десерт с персиком и маракуйей.,high,"{""spelling"": true, ""units"": false, ""punctuation"": true, ""brandFix"": true, ""other"": false}",
4690228006920,"Творожные десерт Чудо 4,2% 100 г Черника.","Творожный десерт Чудо 4,2% 100 г Черника",Чудо,Творожный десерт с черникой.,high,"{""spelling"": true, ""units"": false, ""punctuation"": true, ""brandFix"": true, ""other"": false}",
4690228106835,"Чудо ЙогрФр КлубЗемл. 1,9% 260 г","Йогурт Чудо Клубника-Земляника 1,9% 260 г",Чудо,Йогурт с клубникой и земляникой.,high,"{""spelling"": true, ""units"": false, ""punctuation"": true, ""brandFix"": true, ""other"": false}",
4690228008757,"Чудо ПродЙог ПерсМанг 2,5% 115 г","Йогурт Чудо Персик-Мангостин 2,5% 115 г",Чудо,Йогурт с персиком и мангостином.,high,"{""spelling"": true, ""units"": false, ""punctuation"": true, ""brandFix"": true, ""other"": false}",
4607096006464,"Масло Домик в деревне 82,5% 0,18 кг","Масло Домик в деревне 82,5% 0,18 кг",Домик в деревне,Масло с высоким содержанием жира.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": true, ""other"": false}",
