global_row,name,barcode,quantityUnitType,salesPrice,productDesc,category,brand,productImg
0,Коктейль Чудо банан 200 мл,4610082840836,pcs,450.00,Коктейль с банановым вкусом.,BAR_DAIRY,,
3,Коктейль Чудо ваниль 950 г,4607014826730,pcs,1215.00,Коктейль с ванильным вкусом.,BAR_DAIRY,,
6,Коктейль Чудо ягодное мороженое 950 г,4607014822398 4607014827560,pcs,1300.00,Коктейль с ягодным мороженым.,BAR_DAIRY,,
9,"Молоко Домик в деревне 3,2% 950 г",4607014826563,pcs,1015.00,Молоко с низким содержанием жира.,BAR_DAIRY,Домик в деревне,
12,Сливки Домик в деревне 20% 200 г,4607025396840,pcs,715.00,Сливки с высоким содержанием жира.,BAR_DAIRY,Домик в деревне,
15,"Молоко Мое 6% 0,95 л",4870002324567,pcs,1035.00,Молоко с высоким содержанием жира.,BAR_DAIRY,Мое,
18,"Сырок Глазир Чудо 25,6% Ваниль",4607041420284,pcs,420.00,Сырок с ванильным вкусом.,BAR_DAIRY,Чудо,
21,"Творожный десерт Чудо 4,2% 100 г Персик - маракуйя",4690228008009,pcs,430.00,Творожный десерт с персиком и маракуйей.,BAR_DAIRY,Чудо,
24,"Творожный десерт Чудо 4,2% 100 г Черника",4690228006920,pcs,430.00,Творожный десерт с черникой.,BAR_DAIRY,Чудо,
27,"Йогурт Чудо Клубника-Земляника 1,9% 260 г",4690228106835,pcs,575.00,Йогурт с клубникой и земляникой.,BAR_DAIRY,Чудо,
30,"Йогурт Чудо Персик-Мангостин 2,5% 115 г",4690228008757,pcs,285.00,Йогурт с персиком и мангостином.,BAR_DAIRY,Чудо,
33,"Масло Домик в деревне 82,5% 0,18 кг",4607096006464,pcs,1290.00,Масло с высоким содержанием жира.,BAR_DAIRY,Домик в деревне,
36,"Молоко низколактозное Лактель 'Легкое утро' 3,25% 1 л",4870207314301,pcs,910.00,Низколактозное молоко для легкого усвоения.,BAR_DAIRY,Лактель,
39,"Молоко низколактозное Лактель 'Легкое утро' 2,5% 1 л",4870207314295,pcs,850.00,Низколактозное молоко для легкого усвоения.,BAR_DAIRY,Лактель,
42,"Кефир ФМ 2,3% 1,0 кг",4870207315186 4870207315469,pcs,525.00,Кефир с низким содержанием жира.,BAR_DAIRY,,
45,"Био йогурт с ванилью 3,2% 0,5 кг",48700055000197 48700055000192 4870055000197,pcs,460.00,Натуральный йогурт с ванильным вкусом.,BAR_DAIRY,Био,
48,"Био йогурт с клубникой 2,9% 0,45 кг",4870207314264,pcs,470.00,Натуральный йогурт с клубничным вкусом.,BAR_DAIRY,Био,
51,"Снежок 2% 0,90 кг",4870207313229 4870207313221,pcs,660.00,Нежный йогурт с низким содержанием жира.,BAR_DAIRY,Снежок,
54,"Питьевой йогурт с клубникой 2% 0,45 кг",4870207312130,pcs,460.00,Освежающий питьевой йогурт с клубничным вкусом.,BAR_DAIRY,,
57,"Питьевой йогурт Лесные ягоды 2% 0,90 кг",4870207314196,pcs,700.00,Вкусный питьевой йогурт с лесными ягодами.,BAR_DAIRY,,
