global_row,name,barcode,quantityUnitType,salesPrice,productDesc,category,brand,productImg
4,Коктейль Чудо шоколадный 950 г,4607012937421 4607014824453,pcs,1300.00,Шоколадный коктейль с высоким содержанием вкуса.,BAR_DAIRY,,
9,"Домик в деревне молоко 3,2% 950 г",4607014826563,pcs,1015.00,Молоко с низким содержанием жира.,BAR_DAIRY,,
14,Домик в деревне сливки 10% 480 г,4607025396956,pcs,930.00,Сливки с высоким содержанием жира.,BAR_DAIRY,,
19,"Сырок Глазир Чудо 25,6%",4607041420307,pcs,420.00,Шоколадный сырок с глазурью.,BAR_DAIRY,Чудо,
24,"Творожный десерт Чудо 4,2% 100 г Черника",4690228006920,pcs,430.00,Творожный десерт с черникой.,BAR_DAIRY,Чудо,
29,"Чудо ПродЙог Клубника 2,5% 115 г",4690228008733,pcs,285.00,Йогурт с клубникой и низким содержанием жира.,BAR_DAIRY,Чудо,
34,Ламбер Сыр 50% 230 г,4690228015441,pcs,1795.00,Сыр с высоким содержанием жира.,BAR_DAIRY,,
39,"Молоко низколактозное Лактель 'Легкое утро' 2,5% 1 л",4870207314295,pcs,850.00,Низколактозное молоко для легкого усвоения.,BAR_DAIRY,Лактель,
44,"Кефир ФМ 1% 0,9 кг",4870207311485,pcs,610.00,Кефир с низким содержанием жира.,BAR_DAIRY,,
49,"БИО С Ваниль 3,2% 0,9 кг",4870207311850,pcs,755.00,Биойогурт с ванилью.,BAR_DAIRY,,
54,"Питьевой йогурт Клубника 2% 0,45 кг",4870207312130,pcs,460.00,Йогурт с клубникой.,BAR_DAIRY,,
59,"Сметана Президент 20% 0,40 кг",4870055002542 4870055002542,pcs,800.00,Сметана с высоким содержанием жира.,BAR_DAIRY,Президент,
64,"Сметана Президент 10% 0,20 кг",4870006540208,pcs,430.00,Сметана с низким содержанием жира.,BAR_DAIRY,Президент,
69,"Творог Домашний Рассыпчатый Президент 9% 0,45 кг",4870207314011,pcs,1170.00,Рассыпчатый творог домашнего производства.,BAR_DAIRY,Президент,
74,"Йогурт греческий Натуральный 8,4% 0,300 кг",4870207314394,pcs,650.00,Греческий йогурт с высоким содержанием жира.,BAR_DAIRY,,
79,Сыр Мастер Российский 50%,2500203980010,kg,6765.00,Качественный сыр с содержанием жира 50%.,BAR_DAIRY,Мастер,
84,Сыр плавленый Президент Бри 45% 200 г,4607037122840,pcs,1300.00,Плавленый сыр Бри с содержанием жира 45%.,BAR_DAIRY,Президент,
89,"Творожок Сузбеш ФМ Клубника 4% 0,1 кг",4870055002481,pcs,325.00,Творожок с клубничным вкусом и содержанием жира 4%.,BAR_DAIRY,Сузбеш,
94,Сыр Сметанковый,2500203670010,kg,3510.00,Сыр с характерным сметанным вкусом.,BAR_DAIRY,,
99,Молочный коктейль Му-у Клубника 2% 1 л,4870207314929,pcs,965.00,Коктейль с клубничным вкусом и содержанием жира 2%.,BAR_DAIRY,Му-у,
