name,barcode,quantityUnitType,salesPrice,productDesc,category,brand,productImg
Коктейль Чуда банан 200 мл,4610082840836,pcs,450.00,,BAR_DAIRY,,
Коктейль Чуда клубника 200 мл,46009490100205 4600949010205 4607014822640,pcs,480.00,,BAR_DAIRY,,
Коктейль Чуда ваниль 200 мл,4607014822657,pcs,480.00,,BAR_DAIRY,,
Коктейль Чуда ваниль 950 гр,4607014826730,pcs,1215.00,,BAR_DAIRY,,
Коктейль Чуда шоколадный 950 гр,4607012937421 4607014824453,pcs,1300.00,,BAR_DAIRY,,
Коктейль Чуда банан 950 гр,4610082840829,pcs,1300.00,,BAR_DAIRY,,
Коктейль Чуда ягодно мороженое 950 гр,4607014822398 4607014827560,pcs,1300.00,,BAR_DAIRY,,
Коктейль Чуда клубника 950 гр,4607014826600,pcs,1300.00,,BAR_DAIRY,,
"Домик в деревне молоко 2,5 % 950 гр",4607014826556,pcs,925.00,,BAR_DAIRY,,
"Домик в деревне молоко 3,2 % 950 гр",4607014826563,pcs,1015.00,,BAR_DAIRY,,
Домик в деревне молоко 6  % 950 гр,4607014826570,pcs,1090.00,,BAR_DAIRY,,
Домик в деревне сливки 10 % 200 гр,4607025396833,pcs,555.00,,BAR_DAIRY,,
Домик в деревне сливки 20 % 200 гр,4607025396840,pcs,715.00,,BAR_DAIRY,,
Домик в деревне сливки 20 % 480 гр,4607096004477,pcs,1160.00,,BAR_DAIRY,,
Домик в деревне сливки 10 % 480 гр,4607025396956,pcs,930.00,,BAR_DAIRY,,
"Молоко Мое 6% 0,95 литр",4870002324567,pcs,1035.00,,BAR_DAIRY,,
ВБД Чуда ЙогФр ВишЧереш 2 % 290 г,4690228107313,pcs,625.00,,BAR_DAIRY,,
ВБД Чуда ЙогФр КлубЗемл 2 % 290 г,4690228107290,pcs,625.00,,BAR_DAIRY,,
"Сырок Глазир Чудо 25,6% Ваниль.",4607041420284,pcs,420.00,,BAR_DAIRY,,
"Сырок Глазир Чудо 25,6% Шоколад.",4607041420307,pcs,420.00,,BAR_DAIRY,,
"Сырок Глазир Чудо 28,7% Кокос.",4607041420291,pcs,420.00,,BAR_DAIRY,,
"Творожные десерт Чудо 4,2 %  0,1 персик - маракурйя.",4690228008009,pcs,430.00,,BAR_DAIRY,,
"Творожные десерт Чудо 4,0 %  100 г Вишня - Черешня",4690228006975,pcs,430.00,,BAR_DAIRY,,
"Творожные десерт Чудо 4,2 %  100 г Персик Груша.",4690228006913,pcs,460.00,,BAR_DAIRY,,
"Творожные десерт Чудо 4,2 %  100 г Черника.",4690228006920,pcs,430.00,,BAR_DAIRY,,
Чуда ДесТворВзб КлубЗемл.4 % 100 г,4690228006968,pcs,460.00,,BAR_DAIRY,,
"Чудо ЙогФр ВишЧереш 1,9 % 260 г",4690228106804,pcs,575.00,,BAR_DAIRY,,
"Чудо ЙогрФр КлубЗемл. 1,9 % 260 г",4690228106835,pcs,575.00,,BAR_DAIRY,,
"Чудо ЙогФр ЯгоднМорож 1,9 % 260 г",4690228107030,pcs,575.00,,BAR_DAIRY,,
"Чудо ПродЙог КлубЗемл 2,5 % 115 г",4690228008733,pcs,285.00,,BAR_DAIRY,,
"Чудо ПродЙог ПерсМанг 2,5 % 115 г",4690228008757,pcs,285.00,,BAR_DAIRY,,
"Чудо ПродЙог ПерсМарак 2,5 % 115 г",4690228108808,pcs,285.00,,BAR_DAIRY,,
"Масло Домик в деревне 72,5 % 0,18 кг",4607096006433,pcs,1195.00,,BAR_DAIRY,,
"Масло Домик в деревне 82,5 % 0,18 кг",4607096006464,pcs,1290.00,,BAR_DAIRY,,
Ламбер Сыр  50 % 230 г,4690228015441,pcs,1795.00,,BAR_DAIRY,,
Ламбер Сыр  55 % 230 г,4690228109089,pcs,1880.00,,BAR_DAIRY,,
"Молоко низколактозное Лактель ФМ 'Легкое утро' 3,25%  1 л",4870207314301,pcs,910.00,,BAR_DAIRY,,
Молоко с витамином D Лактель 2.5%  1 л,4870055002689,pcs,700.00,,BAR_DAIRY,,
Молоко с витамином D Лактель 3.2%  1 л,4870055002696,pcs,760.00,,BAR_DAIRY,,
Молоко низколактозное Лактель ФМ 'Легкое утро' 2.5 %  1 л,4870207314295,pcs,850.00,,BAR_DAIRY,,
"Кефир ФМ 2,5 % 1 кг",4870055000852,pcs,570.00,,BAR_DAIRY,,
"Кефир ФМ 2,5 %  0,5 кг",4870055000166,pcs,355.00,,BAR_DAIRY,,
"Кефир ФМ 2,3 %  1,0 кгФП",4870207315186 4870207315469,pcs,525.00,,BAR_DAIRY,,
"Кефир ФМ 2,5%  0,9 кг",4870207311478,pcs,610.00,,BAR_DAIRY,,
