global_row,name,barcode,quantityUnitType,salesPrice,productDesc,category,brand,productImg
2,Коктейль Чуда ваниль 200 мл,4607014822657,pcs,480.00,,BAR_DAIRY,,
7,Коктейль Чуда клубника 950 г,4607014826600,pcs,1300.00,,BAR_DAIRY,,
12,Домик в деревне сливки 20% 200 г,4607025396840,pcs,715.00,,BAR_DAIRY,,
17,ВБД Чуда ЙогФр КлубЗемл 2% 290 г,4690228107290,pcs,625.00,,BAR_DAIRY,,
22,"Творожные десерт Чудо 4,0% 100 г Вишня - Черешня",4690228006975,pcs,430.00,,BAR_DAIRY,,
27,"Чудо ЙогрФр КлубЗемл. 1,9% 260 г",4690228106835,pcs,575.00,,BAR_DAIRY,,
32,"Масло Домик в деревне 72,5% 0,18 кг",4607096006433,pcs,1195.00,,BAR_DAIRY,,
37,"Молоко с витамином D Лактель 2,5% 1 л",4870055002689,pcs,700.00,,BAR_DAIRY,,
42,"Кефир ФМ 2,3% 1,0 кгФП",4870207315186 4870207315469,pcs,525.00,,BAR_DAIRY,,
47,"БИО С Клубника 2,9% 0.9 кг",4870207314592,pcs,755.00,,BAR_DAIRY,,
52,"Снежок 2% 0,90 кг ФП",4870207312888,pcs,555.00,,BAR_DAIRY,,
57,"Питьевой йогурт Лесные ягоды 2% 0,90 кг",4870207314196,pcs,700.00,,BAR_DAIRY,,
62,"Сметана Президент 15% 0,20 кг",4870055001248 4870055001242,pcs,450.00,,BAR_DAIRY,,
67,"Творог Домашний Рассыпчатый Президент 5% 0,20 кг",4870207313977,pcs,640.00,,BAR_DAIRY,,
72,"Йогурт греческий Миндаль-Фисташки 7,9% 0,130 кг",4870207313342,pcs,360.00,,BAR_DAIRY,,
77,"Йогурт Вишня 1,5% 0,110гр",4870207313540,pcs,240.00,,BAR_DAIRY,,
82,Сыр плавленый Президент с запеченной курицей 45% 400 г.,4607037123908,pcs,2115.00,,BAR_DAIRY,,
