global_row,name,barcode,quantityUnitType,salesPrice,productDesc,category,brand,productImg
2,Коктейль Чудо ваниль 200 мл,4607014822657,pcs,480.00,Вкусный коктейль с ванильным вкусом.,BAR_DAIRY,,
5,Коктейль Чудо банан 950 г,4610082840829,pcs,1300.00,Коктейль с банановым вкусом.,BAR_DAIRY,,
8,"Домик в деревне молоко 2,5% 950 г",4607014826556,pcs,925.00,"Молоко с жирностью 2,5%.",BAR_DAIRY,Домик в деревне,
11,Домик в деревне сливки 10% 200 г,4607025396833,pcs,555.00,Сливки с жирностью 10%.,BAR_DAIRY,Домик в деревне,
14,Домик в деревне сливки 10% 480 г,4607025396956,pcs,930.00,Сливки с жирностью 10%.,BAR_DAIRY,Домик в деревне,
17,ВБД Чудо ЙогФр Клубника Земляника 2% 290 г,4690228107290,pcs,625.00,Йогурт с клубникой и земляникой.,BAR_DAIRY,,
20,"Сырок Глазир Чудо 28,7% Кокос",4607041420291,pcs,420.00,Сырок с кокосовым вкусом.,BAR_DAIRY,Чудо,
23,"Творожный десерт Чудо 4,2% 100 г Персик Груша",4690228006913,pcs,460.00,Творожный десерт с персиком и грушей.,BAR_DAIRY,Чудо,
26,"Чудо ЙогФр Вишня Черешня 1,9% 260 г",4690228106804,pcs,575.00,Йогурт с вишней и черешней.,BAR_DAIRY,Чудо,
29,"Чудо ПродЙог Клубника Земляника 2,5% 115 г",4690228008733,pcs,285.00,Продуктовый йогурт с клубникой и земляникой.,BAR_DAIRY,Чудо,
32,"Масло Домик в деревне 72,5% 0,18 кг",4607096006433,pcs,1195.00,"Масло с жирностью 72,5%.",BAR_DAIRY,Домик в деревне,
35,Ламбер Сыр 55% 230 г,4690228109089,pcs,1880.00,Сыр с жирностью 55%.,BAR_DAIRY,Ламбер,
38,"Молоко с витамином D Лактель 3,2% 1 л",4870055002696,pcs,760.00,Молоко с добавлением витамина D.,BAR_DAIRY,Лактель,
41,"Кефир ФМ 2,5% 0,5 кг",4870055000166,pcs,355.00,"Кефир с жирностью 2,5%.",BAR_DAIRY,,
44,"Кефир ФМ 1% 0,9 кг",4870207311485,pcs,610.00,Кефир с жирностью 1%.,BAR_DAIRY,,
47,"БИО С Клубника 2,9% 0.9 кг",4870207314592,pcs,755.00,Натуральный йогурт с клубникой.,BAR_DAIRY,Био,
50,"Снежок 2% 0,45 кг",4870207312383 4870207312381,pcs,390.00,Нежный йогурт с низким содержанием жира.,BAR_DAIRY,Снежок,
53,"Живой натуральный 2% 0,28 кг",4870207315292,pcs,380.00,Натуральный йогурт с низким содержанием жира.,BAR_DAIRY,Живой,
56,"Питьевой йогурт лесные ягоды 2% 0,45 кг",4870207314202,pcs,460.00,"Йогурт с ягодами, богатый витаминами.",BAR_DAIRY,Питьевой,
59,"Сметана Президент 20% 0,40 кг",4870055002542 4870055002542,pcs,800.00,Сметана с высоким содержанием жира.,BAR_DAIRY,Президент,
62,"Сметана Президент 15% 0,20 кг",4870055001248 4870055001242,pcs,450.00,Сметана с низким содержанием жира.,BAR_DAIRY,Президент,
65,"Сметана домашняя Президент 25% 0,385 кг",4870207310563,pcs,900.00,Домашняя сметана с высоким содержанием жира.,BAR_DAIRY,Президент,
68,"Творог домашний рассыпчатый Президент 5% 0,45 кг",4870207314004,pcs,1100.00,Рассыпчатый творог с низким содержанием жира.,BAR_DAIRY,Президент,
71,"Йогурт греческий Клубника 7,2% 0,130 кг",4870207313335,pcs,360.00,Греческий йогурт с клубникой.,BAR_DAIRY,Йогурт греческий,
74,"Йогурт греческий Натуральный 8,4% 0,300 кг",4870207314394,pcs,650.00,Натуральный греческий йогурт.,BAR_DAIRY,Йогурт греческий,
77,"Йогурт Вишня 1,5% 0,110гр",4870207313540,pcs,240.00,Йогурт с вишней и низким содержанием жира.,BAR_DAIRY,Йогурт,
80,Сыр плавленый Президент 140 г 45% сливочный,4607037120013,pcs,1080.00,Плавленый сыр с высоким содержанием жира.,BAR_DAIRY,Президент,
83,Сыр плавленый Президент с запеченными колбасками 45% 400 г,4607037123922,pcs,2115.00,Плавленый сыр с колбасками.,BAR_DAIRY,Президент,
86,Сыр плавленый Президент 140 г 45% чеддер,4607037122598,pcs,1080.00,Плавленый сыр Чеддер с высоким содержанием жира.,BAR_DAIRY,Президент,
89,"Творожок Суздальский клубника 4% 0,1 кг",4870055002481,pcs,325.00,Творожок с клубникой и низким содержанием жира.,BAR_DAIRY,,
92,"Молоко сгущенное с сахаром 8,5% 380 г",4870035005778,pcs,925.00,"Сгущенное молоко с сахаром, жирность 8,5%.",BAR_DAIRY,,
95,"Ряженка 2,5% 1,0 кг",4870055006144,pcs,705.00,"Ряженка с жирностью 2,5%.",BAR_DAIRY,,
98,"Му-у молочный коктейль ФМ Клубника 2% 0,200 мл",4870207314561,pcs,350.00,"Молочный коктейль со вкусом клубники, жирность 2%.",BAR_DAIRY,,
101,"Му-у молочный коктейль ФМ Шоколад 2% 0,200 мл",4870055000890,pcs,350.00,"Молочный коктейль со вкусом шоколада, жирность 2%.",BAR_DAIRY,,
104,"Сливки Президент 11% 0,50 г",4601662006476,pcs,1220.00,Сливки с жирностью 11%.,BAR_DAIRY,Президент,
107,"Сыр рассольный Фета Салакис Президент 0,25 кг. 45%.",4606002110291 8606002110291,pcs,2100.00,Сыр Фета с жирностью 45%.,BAR_DAIRY,Президент,
110,Каймак Домашний 245гр Айжан ИП,2500204530016,pcs,990.00,"Домашний каймак, вес 245 г.",BAR_DAIRY,,
113,Курт Домашний соленый,2500204560013,kg,4250.00,Домашний соленый курт.,BAR_DAIRY,,
116,"Молоко Новый день 2,5% 1 л",4870004711921,pcs,640.00,"Молоко с жирностью 2,5%.",BAR_DAIRY,Новый день,
119,Молоко Новый день 6% 1 лТетрапак с крышка.,4870004711969,pcs,750.00,Молоко с жирностью 6%.,BAR_DAIRY,Новый день,
122,Молоко Новый день 6% 1 л,4870004710818,pcs,690.00,Молоко с жирностью 6%.,BAR_DAIRY,Новый день,
125,Молоко Просто 6%,4870004711549,pcs,655.00,Молоко с жирностью 6%.,BAR_DAIRY,,
128,Сырок творожный глазированный с карамелью 23% 50 г,4602358006992,pcs,480.00,"Глазированный творожный сырок с карамелью, жирность 23%.",BAR_DAIRY,Кизк,
131,Сырок творожный глазированный с орехами 15% 40 г,4810073009161,pcs,265.00,"Глазированный творожный сырок с орехами, жирность 15%.",BAR_DAIRY,,
134,Сырок творожный глазированный на вафле Малина 23% 65 г,4810073009093,pcs,515.00,"Глазированный творожный сырок с малиной, жирность 23%.",BAR_DAIRY,,
137,Сырок творожный глазированный на венской вафле с черникой 23% 65 г,4810073007235,pcs,515.00,"Сырок с черникой на вафле, глазированный.",BAR_DAIRY,МДЖИ,
140,"Биойогурт чернослив со злаками 1,5% 450 г",4870005359207,pcs,550.00,Полезный биойогурт с черносливом и злаками.,BAR_DAIRY,,
143,"Йогурт ложковый Эмиль клубника 2,5% 275 г",4870005359368,pcs,510.00,Ложковый йогурт с клубникой.,BAR_DAIRY,Эмиль,
146,"Йогурт питьевой Эмиль клубника 1,5% 900 г",4870005357241,pcs,830.00,Питьевой йогурт с клубникой.,BAR_DAIRY,Эмиль,
149,"Кефир 2,5% 900 г",4870005358996,pcs,770.00,Кефир с низким содержанием жира.,BAR_DAIRY,,
152,"Масло сливочное Крестьянское 72,5% 200 г",4870005350585,kg,5510.00,Сливочное масло с высоким содержанием жира.,BAR_DAIRY,Крестьянское,
155,Сметана Домашняя 25% 280 г,4870005359283,pcs,1125.00,Сметана с высоким содержанием жира.,BAR_DAIRY,Домашняя,
158,"Сметана, 15%, п/стакан, 380 г.",4870005350488,pcs,875.00,Сметана с низким содержанием жира.,BAR_DAIRY,,
161,"Творог, 5%, п/мешок, 380 г.",4870005359061,pcs,1160.00,Творог с низким содержанием жира.,BAR_DAIRY,,
164,"Творожная масса с ванилином 4,5% 180 г",4870005352840,pcs,585.00,Творожная масса с ванильным вкусом.,BAR_DAIRY,,
167,"Творожная масса с изюмом 4,5% 180 г",4870005352857,pcs,585.00,Творожная масса с изюмом.,BAR_DAIRY,,
