barcode,old_name,new_name,brand,productDesc,confidence,changes,error
46009490100205 4600949010205 4607014822640,Коктейль Чуда клубника 200 мл,Коктейль Чудо клубника 200 мл,,Коктейль с клубничным вкусом.,high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}",
4607012937421 4607014824453,Коктейль Чуда шоколадный 950 г,Коктейль Чудо шоколадный 950 г,,Коктейль с шоколадным вкусом.,high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}",
4607014826600,Коктейль Чуда клубника 950 г,Коктейль Чудо клубника 950 г,,Коктейль с клубничным вкусом.,high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}",
4607014826570,Домик в деревне молоко 6% 950 г,Домик в деревне молоко 6% 950 г,,Молоко с жирностью 6%.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4607096004477,Домик в деревне сливки 20% 480 г,Домик в деревне сливки 20% 480 г,,Сливки с жирностью 20%.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}",
4690228107313,ВБД Чуда ЙогФр ВишЧереш 2% 290 г,ВБД Чудо ЙогФр Вишня-Черешня 2% 290 г,,Йогурт с вишней и черешней.,high,"{""spelling"": true, ""units"": false, ""punctuation"": true, ""brandFix"": true, ""other"": false}",
4607041420307,"Сырок Глазир Чудо 25,6% Шоколад.","Сырок Глазир Чудо 25,6% Шоколад",Чудо,Сырок глазированный с шоколадом.,high,"{""spelling"": false, ""units"": false, ""punctuation"": true, ""brandFix"": true, ""other"": false}",
4690228006975,"Творожные десерт Чудо 4,0% 100 г Вишня - Черешня","Творожный десерт Чудо 4,0% 100 г Вишня-Черешня",Чудо,Творожный десерт с вишней и черешней.,high,"{""spelling"": true, ""units"": false, ""punctuation"": true, ""brandFix"": true, ""other"": false}",
4690228006968,Чуда ДесТворВзб КлубЗемл.4% 100 г,Чудо Десерт Творожный Взбитый Клубника-Земляника 4% 100 г,,Взбитый творожный десерт с клубникой и земляникой.,high,"{""spelling"": true, ""units"": false, ""punctuation"": true, ""brandFix"": true, ""other"": false}",
4690228107030,"Чудо ЙогФр ЯгоднМорож 1,9% 260 г","Чудо Йогурт Фруктовый Ягодное Мороженое 1,9% 260 г",Чудо,Фруктовый йогурт с ягодным вкусом.,high,"{""spelling"": true, ""units"": false, ""punctuation"": true, ""brandFix"": true, ""other"": false}",
