barcode,old_name,new_name,brand,productDesc,confidence,changes
46009490100205 4600949010205 4607014822640,Коктейль Чуда клубника 200 мл,Коктейль Чудо клубника 200 мл,,Коктейль с клубникой в упаковке 200 мл.,high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}"
4607014822398 4607014827560,Коктейль Чуда ягодно мороженое 950 г,Коктейль Чудо ягодное мороженое 950 г,,"Коктейль с ягодным мороженым, 950 г.",high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}"
4607025396833,Домик в деревне сливки 10% 200 г,Домик в деревне сливки 10% 200 г,,Сливки 10% в упаковке 200 г.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4690228107313,ВБД Чуда ЙогФр ВишЧереш 2% 290 г,ВБД Чудо Йогурт Вишня-Черешня 2% 290 г,,"Йогурт с вишней и черешней, 290 г.",high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}"
4690228008009,"Творожные десерт Чудо 4,2% 0,1 персик - маракурйя.","Творожный десерт Чудо 4,2% персик-маракуйя",Чудо,"Творожный десерт с персиком и маракуйей, 4,2%, 100 г.",high,"{""spelling"": true, ""units"": true, ""punctuation"": false, ""brandFix"": true, ""other"": false}"
4690228106804,"Чудо ЙогФр ВишЧереш 1,9% 260 г","Чудо Йогурт Вишня-Черешня 1,9% 260 г",Чудо,"Йогурт с вишней и черешней, 1,9%, 260 г.",high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}"
4690228108808,"Чудо ПродЙог ПерсМарак 2,5% 115 г","Чудо Продолжительный Йогурт Персик-Маракуйя 2,5% 115 г",Чудо,"Продолжительный йогурт с персиком и маракуйей, 2,5%, 115 г.",high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}"
4870207314301,"Молоко низколактозное Лактель ФМ 'Легкое утро' 3,25% 1 л","Молоко низколактозное Лактель 'Легкое утро' 3,25% 1 л",Лактель,"Низколактозное молоко, 3,25%, 1 л.",high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4870055000166,"Кефир ФМ 2,5% 0,5 кг","Кефир 2,5% 0,5 кг",,"Кефир 2,5%, 500 г.",high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4870055004287 4870055004282,"БИО С Ваниль 3,2% 1 кг","БИО С Ванилью 3,2% 1 кг",,"БИО-продукт с ванилью, 3,2%, 1 кг.",high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4870207313229 4870207313221,"Снежок 2% 0,90 кг","Снежок 2% 0,90 кг",,"Снежок, 2%, 900 г.",high,"{""spelling"": true, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4870207314202,"Питьевой йогурт Лесные ягоды 2% 0,45 кг","Питьевой йогурт Лесные ягоды 2% 0,45 кг",,"Питьевой йогурт с лесными ягодами, 2%, 450 г.",high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4870055001231 4870055001232,"Сметана Президент 15% 0,40 кг","Сметана Президент 15% 0,40 кг",Президент,"Сметана 15%, 400 г.",high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4870207313960,"Творог Домашний Рассыпчатый Президент 0,1% 0,20 кг","Творог Домашний Рассыпчатый Президент 0,1% 0,20 кг",,"Творог домашний рассыпчатый, 0,1%, 200 г.",high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4870207313335,"Йогурт греческий Клубника 7,2% 0,130 кг","Йогурт греческий Клубника 7,2% 0,130 кг",,"Греческий йогурт с клубникой, 7,2%, 130 г.",high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4870207313533,"Йогурт Персик 1,5% 0,110гр","Йогурт Персик 1,5% 0,110гр",,Нежный йогурт с вкусом персика.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": true}"
4607037120020,Сыр плав. Президент 200 г 45% Сливочный ванна.,Сыр плавленый Президент 200 г 45%,Президент,Плавленый сыр с высоким содержанием жира.,high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}"
4607037122598,Сыр плав. Президент 140 г 45% Чеддер круг.,Сыр плавленый Президент 140 г 45% Чеддер,Президент,Плавленый сыр Чеддер с высоким содержанием жира.,high,"{""spelling"": true, ""units"": false, ""punctuation"": false, ""brandFix"": true, ""other"": false}"
4870055000043,"Ряженка ФМ 2,5% 0,5 кг.","Ряженка ФМ 2,5% 0,5 кг.",ФМ,Натуральная ряженка с низким содержанием жира.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": true}"
4870055002672,"Лактель ФМ молоко с витамином Д 1,5% 1 л.","Молоко Лактель с витамином Д 1,5% 1 л",Лактель,Молоко с добавлением витамина Д.,high,"{""spelling"": false, ""units"": false, ""punctuation"": true, ""brandFix"": false, ""other"": true}"
4870055000890,"Му-у молочный коктейль ФМ Шоколад 2% 0,200 мл","Му-у молочный коктейль ФМ Шоколад 2% 0,200 мл",ФМ,Вкусный шоколадный молочный коктейль.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": true}"
8606002113131,"Сыр рассольный Брынза Президент 0,25 кг. 45%.","Сыр рассольный Брынза Президент 0,25 кг. 45%.",Президент,Соленая брынза с высоким содержанием жира.,high,"{""spelling"": false, ""units"": true, ""punctuation"": false, ""brandFix"": false, ""other"": true}"
2500204540015,Каймак Домашний 195гр Айжан ИП,Каймак Домашний 195гр Айжан ИП,Домашний,Натуральный каймак с богатым вкусом.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": true}"
4870004711921,"Молоко Новый день 2,5% 1 лТетрапак с крышка.","Молоко Новый день 2,5% 1 л",Новый день,Молоко с низким содержанием жира в упаковке Тетрапак.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": true}"
4870004710795,"Молоко Новый день 3,2% 1 л.","Молоко Новый день 3,2% 1 л",Новый день,Молоко с повышенным содержанием жира.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": false}"
4602358005575,Сырок творож глазирован в тёмном шок 23% 50 г (12) Кизк,Сырок творожный глазированный в темном шоколаде 23% 50 г,,Глазированный творожный сырок с высоким содержанием жира.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": true}"
4810073009161,Сырок творож глазир Шок-орех шок с напол Фундук в шок МДЖ 15% 40 г (30),Сырок творожный глазированный Шок-орех с фундуком 15% 40 г,,Творожный сырок с ореховым вкусом.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": true}"
4810073007495,Сырок творож. глазирован. Пражский МДЖ 23% 65 г (20),Сырок творожный глазированный Пражский 23% 65 г,,Творожный сырок с насыщенным вкусом.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": true}"
4870005359399,"Воздушное суфле клубника-шоколад 2,5% пэт стакан 160 г.","Воздушное суфле клубника-шоколад 2,5% 160 г",,Легкое суфле с клубничным и шоколадным вкусом.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": true}"
4870005357241,"Йогурт питьевой Эмиль Клубника 1,5% пэт бут 900 г","Йогурт питьевой Эмиль Клубника 1,5% 900 г",Эмиль,Питьевой йогурт с клубничным вкусом.,high,"{""spelling"": false, ""units"": false, ""punctuation"": false, ""brandFix"": false, ""other"": true}"
4870005350587,"Масло сливочное Крестьянское, 72,5%, контейнер, 200 г.","Масло сливочное Крестьянское 72,5% 200 г",Крестьянское,Сливочное масло с высоким содержанием жира.,high,"{""spelling"": false, ""units"": true, ""punctuation"": true, ""brandFix"": true, ""other"": false}"
